file,smiles,heavy_atoms,qed,sa,ra_score,pb_valid,predicted_affinity_score,vina_dock,ligand_efficiency
004.sdf,CCCC(=O)N=C1Cc2ccccc2N1,15,0.7995423590877795,0.79,0.8990581631660461,False,5.06746768951416,-5.076,-0.3384
001.sdf,COc1ccc(N2CC[C@@H]([C@]34C=NC(=C[C@@H](C)Oc5ccncc5O)C[C@H]3CCCN4)C2)cn1,34,0.6764672491450678,0.58,0.4566596746444702,False,5.799282073974609,-6.705,-0.19720588235294118
005.sdf,ON1CC[C@@H](c2ccc3cc(-c4ccnnc4)cnc3n2)[C@@H]1c1ccccc1,28,0.5881197680893432,0.7,0.8144491314888,True,5.6627607345581055,-6.021,-0.21503571428571427
008.sdf,O=C(O)NCC1CC2C=CCC=C2N1,14,0.5762443995061876,0.62,0.735029935836792,False,5.138318061828613,-7.144,-0.5102857142857143
007.sdf,NC(=O)NC(=O)Oc1ccc(S(O)(O)O)cc1,17,0.545361674099531,0.84,0.9711102843284607,True,4.974081993103027,-6.166,-0.3627058823529412
003.sdf,O=C(NO)NCCc1ccccc1,13,0.4781242064731697,0.92,0.9973401427268982,True,4.97828483581543,-6.848,-0.5267692307692308
009.sdf,C=C(NO)NCCCc1ccccc1,14,0.4741870060587543,0.86,0.9768358469009399,True,5.004985332489014,-6.283,-0.4487857142857143
000.sdf,NC(N)=NCNc1ccccc1,12,0.44478806130389104,0.86,0.966109037399292,True,4.91269588470459,-6.432,-0.536
002.sdf,O=C(O)CNCC1CN(CC(=O)O)CN1,15,0.40695294295616996,0.73,0.9031942486763,True,5.258788108825684,-5.375,-0.35833333333333334
006.sdf,C[C@@H]1C(O)(O)C[C@H]2N(CCCNNC(=N)C=O)CC[C@@]12O,21,0.08499763466805808,0.57,0.04655451327562332,False,5.7369608879089355,-6.533,-0.3110952380952381
