reconstructed,n_fragments,smiles,synth_own_score,real_ra_score,lambda,pocket_data_id,pocket_target,n_attempted,n_reconstructed,n_single_fragment
True,1,CN1C=NC2=C(C1)OC(C1=CC(O)C=CC1O)C2CCC(O)C(=O)O,0.690672755241394,0.017384622246026993,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,CC1CC(O)C(O)C(C2(C=C3NCC(F)O3)NC3=CC(=O)N(N)NC(=O)C3C2=O)C1C,0.19881150126457214,0.008924110792577267,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,O=CC(CC1CCNC1=O)c1cc(N2CC(O)OCC2=O)cc(C(F)(F)F)c1,0.5165199637413025,0.8361007571220398,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,CNC(C(=O)O)C1C=CC(C(CC(F)F)CC(C)(O)O)C=C1F,0.8066118359565735,0.04393170401453972,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,5,CC(C)C(CCCC(=O)N1CCCC1=O)C(CF)CC(F)(F)F.CC(O)C(O)CCC(O)C=O.CC12CCCCC1C(CO)CC(O)C2.CC1COC2C(=O)OC(CO)=C12.CNC(=O)F,,,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,2,CC(=O)CC1CC(COCCCO)NC1C=O.O=C1OCC(O)C(O)C1NO,,,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,CC(CC=CC(C1=CC(=O)C2C(=C1)CON2C)C1C=CC(O)=C(O)C=C1)C(N)=O,0.5777528285980225,0.006308326497673988,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,CC(O)C(CO)C(=O)C1CC=C(C(=CCCCN)C=C2NC(N(C)C)CC(O)C2O)N1,0.5162115097045898,0.0025980856735259295,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,O=C(O)C(O)C(F)C(CO)N=c1[nH]c(C(F)C(F)F)cc2c1[nH]c(=O)n2-c1ccccc1,0.2561442255973816,0.029208488762378693,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,CC1CC(C(C)(C)O)CCC1NC(CC1CCCCC1)C1C=CCC(O)=C1,0.7061175107955933,0.4453827738761902,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,NC(C=O)CC(=O)NC1=NC(CN2CC(N)CCCC2=O)=C2CCC(F)OC12,0.3814433217048645,0.7122473120689392,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,O=C(O)CCC1CC(=C2CNN(O)C2)CC(N2C=CC(O)C(O)C2=O)O1,0.7175400257110596,0.08578207343816757,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,O=C1NCNCC=C1NC(CCCCO)C(=O)O,0.8897607922554016,0.9299106001853943,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,NC(=O)CC1C2C=CCC=C2C(O)C2CC(C(O)C(=O)O)C(O)CC21,0.5836694240570068,0.26581689715385437,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,COCc1cc(C(C)OCCC(N)CS)nc(N(CO)CCC(O)C(=O)O)n1,0.5435456037521362,0.58277428150177,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,NCN(CCCC(=O)O)C(=O)OC1CC2=C(C(=O)C3=CCC=CC32)C1C(O)C(=O)C1COC(O)N1,0.37253549695014954,0.023691141977906227,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,2,CC(=O)N1CCCC(C2=NONC2(C)C(=O)O)C1.NC(=O)O[SH](O)O,,,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,C=Cc1cc(C(=O)O)cc(N2CC(O)CC2=O)c1,0.8857282400131226,0.6339531540870667,0.0,0,BSD_ASPTE_1_130_0,30,30,27
True,1,O=C(CCO)OC1CC(n2cnc(=O)[nH]c2=O)CN2C(=O)COCC12,0.545232355594635,0.4377628564834595,0.0,0,BSD_ASPTE_1_130_0,30,30,27
